_id;title;description;event_dates;event_date;date_display_mode;is_permanent;date_range_from;date_range_to;schedule;date_display;address;coordinates_lat;coordinates_lng;category;event_image;price;price_description;is_premium;phone;source;status;createdBy;updatedBy;createdAt;updatedAt
;NOTHING;NOTHING is listed as a live music performance in Warsaw. It is scheduled on 1 September 2026 at 19:30 at Hydrozagadka, 22 11 Listopada St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-01T19:30;;sessions;false;;;;;Hydrozagadka, 22 11 Listopada St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;The Dresden Dolls;The Dresden Dolls is listed as a live music performance in Warsaw. It is scheduled on 2 September 2026 at 19:30 at Progresja, 22 Fort Wola St, Warsaw. The published starting price is 181.90 PLN. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-02T19:30;;sessions;false;;;;;Progresja, 22 Fort Wola St, Warsaw;;;;;181.90;Tickets from 181.90 PLN;false;;https://www.eventylive.pl/wydarzenia/warszawa/concert/2026-09;active;;;;
;Kate Stephenson;Kate Stephenson is listed as a live music performance in Warsaw. It is scheduled on 7 September 2026 at 18:00 at BARdzo bardzo, 18 Środkowa St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-07T18:00;;sessions;false;;;;;BARdzo bardzo, 18 Środkowa St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;New Constellations, support: Karolina Prasał;New Constellations, support: Karolina Prasał is listed as a live music performance in Warsaw. It is scheduled on 8 September 2026 at 20:00 at Hydrozagadka, 22 11 Listopada St, Warsaw. The published starting price is 104.94 PLN. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-08T20:00;;sessions;false;;;;;Hydrozagadka, 22 11 Listopada St, Warsaw;;;;;104.94;Tickets from 104.94 PLN;false;;https://kiedykoncert.pl/wydarzenie/148-new-constellations-support-karolina-prasal-warszawa;active;;;;
;Alex Spencer;Alex Spencer is listed as a live music performance in Warsaw. It is scheduled on 9 September 2026 at 20:00 at BARdzo bardzo, 18 Środkowa St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-09T20:00;;sessions;false;;;;;BARdzo bardzo, 18 Środkowa St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;Bayonne;Bayonne is listed as a live music performance in Warsaw. It is scheduled on 12 September 2026 at 20:00 at BARdzo bardzo, 18 Środkowa St, Warsaw. The published starting price is 102.90 PLN. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-12T20:00;;sessions;false;;;;;BARdzo bardzo, 18 Środkowa St, Warsaw;;;;;102.90;Tickets from 102.90 PLN;false;;https://www.eventylive.pl/wydarzenia/warszawa/concert/2026-09?page=3;active;;;;
;Black Stone Cherry: The Celebrate Tour;Black Stone Cherry: The Celebrate Tour is listed as a rock concert in Warsaw. It is scheduled on 13 September 2026 at 18:00 at Klub Progresja, 22 Fort Wola St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-13T18:00;;sessions;false;;;;;Klub Progresja, 22 Fort Wola St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;The Pussycat Dolls: PCD FOREVER TOUR;The Pussycat Dolls: PCD FOREVER TOUR is listed as a pop concert in Warsaw. It is scheduled on 16 September 2026 at 17:30 at COS Torwar, 6A Łazienkowska St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-16T17:30;;sessions;false;;;;;COS Torwar, 6A Łazienkowska St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;Devin Townsend;Devin Townsend is listed as a live music performance in Warsaw. It is scheduled on 16 September 2026 at 18:00 at Klub Stodoła, 10 Batorego St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-16T18:00;;sessions;false;;;;;Klub Stodoła, 10 Batorego St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;TR/ST — Live;TR/ST — Live is listed as a live music performance in Warsaw. It is scheduled on 16 September 2026 at 20:00 at Niebo, 21C Nowy Świat St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-16T20:00;;sessions;false;;;;;Niebo, 21C Nowy Świat St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
